[2018-02-12 10:31:13,403] - logger.py] - INFO: 测试RT接口令牌无效1结果pass
[2018-02-12 10:32:31,178] - logger.py] - INFO: 测试RT接口令牌无效1结果pass
[2018-02-12 10:32:47,918] - logger.py] - INFO: 测试RT接口令牌无效1结果pass
[2018-02-12 10:37:36,986] - logger.py] - INFO: 测试RT接口令牌无效1结果pass




[2018-02-12 10:38:55,865] - logger.py] - INFO: 测试RT接口令牌无效1结果pass
[2018-02-12 10:39:53,855] - logger.py] - INFO: 测试RT接口令牌无效1结果pass
[2018-02-12 10:48:44,078] - logger.py] - INFO: 测试RT接口令牌无效1结果pass
[2018-02-12 10:50:15,088] - logger.py] - INFO: 测试RT接口令牌无效1结果pass
[2018-02-12 10:50:15,114] - logger.py] - ERROR: 测试RT接口令牌无效1测试结果pass
[2018-02-12 10:50:52,744] - logger.py] - ERROR: 测试RT接口令牌无效1测试结果pass
[2018-02-12 10:59:30,003] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 10:59:30,066] - logger.py] - DEBUG: 测试RT接口令牌无效1e
[2018-02-12 10:59:30,066] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 10:59:30,066] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:01:09,186] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:01:09,217] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:01:50,963] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:01:51,072] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:01:51,119] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
[2018-02-12 11:03:38,023] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:03:38,071] - logger.py] - INFO: 测试RT接口令牌无效1---------start---------
[2018-02-12 11:03:38,101] - logger.py] - INFO: 测试RT接口令牌无效1------------end--------------------
